GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2010,2010,2010,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_MLE,Male,9.0024188,9.0 [3.5-18.0],3.46319,18.038097
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2007,2007,2007,SEAR,South-East Asia,BTN,Bhutan,SEVERITY,SEVERITY_TOTAL,Total,40.6,40.6 [29.6-50.6],29.6,50.6
NUT_CF_ZVF,"Zero vegetable or fruit consumption, 6-23 months",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/zero-vegetable-or-fruit-consumption--6-23-months,2015,2015,2015,SEAR,South-East Asia,BTN,Bhutan,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,Urban,62.4,62.4 [48.0-74.9],48.0,74.9
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2019,2019,2019,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,16.027987,16.0 [12.2-20.2],12.232859,20.168611
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-children-and-adolescents-bmi-1-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2002,2002,2002,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,6.7272916,6.7 [4.1-10.1],4.1025192,10.107582
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-anaemia-in-women-of-reproductive-age-%28-%29,2019,2019,2019,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_FMLE,Female,33.2,33.2 [22.2-46.6],22.2,46.6
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/gho-jme-country-children-aged-5-years-severe-wasting-br-%28-weight-for-height--3-sd%29,2010,2010,2010,SEAR,South-East Asia,BTN,Bhutan,AGEGROUP,AGEGROUP_MONTHS24-59,24 to 59 months,0.9,0.9 [0.6-1.4],0.6,1.4
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-thinness-among-children-and-adolescents-bmi--2-standard-deviations-below-the-median-%28crude-estimate%29-%28-%29,1990,1990,1990,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_FMLE,Female,10.133908,10.1 [3.8-19.0],3.8104217,19.009013
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2002,2002,2002,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_MLE,Male,2.2291401,2.2 [0.2-8.2],0.18868595,8.2223371
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2017,2017,2017,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,3.7320532,3.7 [1.9-6.3],1.9371787,6.2792838
NCD_BMI_25A,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-overweight-among-adults-bmi--25-%28age-standardized-estimate%29-%28-%29,2012,2012,2012,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_BTSX,Both sexes,33.955052,34.0 [31.7-36.3],31.668955,36.291271
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2010,2010,2010,SEAR,South-East Asia,BTN,Bhutan,SEX,SEX_FMLE,Female,2.8225213,2.8 [0.8-6.8],0.80327131,6.8196848
